index,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
30,23093,GNB,Africa,Guinea-Bissau,2021-01-15,2478.0,0.0,3.286,45.0,0.0,0.0,1259.1480000000001,0.0,1.67,22.866,0.0,0.0,0.14,5300.0,63.258,24526.0,375.74199999999996,103.991,9.977,2324.214,27.741,697640.0,5879.0,38.94,0.32799999999999996,4760.0,0.266,0.165,6.1,people tested,123347.0,16012.0,7522.0,1.18,722.0,49.07,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,35.3,52.0,6.403,0.3,58.32,0.455
31,49701,SVK,Europe,Slovakia,2021-01-15,220707.0,2729.0,2791.857,3362.0,102.0,82.0,40425.171,499.85,511.36300000000006,615.7909999999999,18.683,15.019,1.11,1065.0,55.36,2980.0,545.823,19.332,3.5660000000000003,5310.204000000001,276.031,1603679.0,11392.0,293.733,2.0869999999999997,11477.0,2.102,0.243,4.1,tests performed,57226.0,7738.0,5525.0,1.05,1012.0,62.04,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,287.959,7.29,23.1,37.7,19.275,5.82,77.54,0.855
32,1611,AGO,Africa,Angola,2021-01-15,18679.0,66.0,87.571,428.0,3.0,1.857,568.3330000000001,2.008,2.6639999999999997,13.022,0.091,0.057,1.02,,,,,,,,,134259.0,,1737.6429999999998,,515.0,6.665,0.138,7.3,people tested,,,,,,65.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,0.5,276.045,3.94,29.0,37.8,26.664,1.9,61.15,0.581
33,51479,SSD,Africa,South Sudan,2021-01-15,3670.0,0.0,11.571,63.0,0.0,0.0,327.86199999999997,0.0,1.034,5.627999999999999,0.0,0.0,0.77,202.0,97.165,1192.0,573.371,113.89200000000001,54.784,743.294,357.536,80036.0,201.0,7.15,0.018000000000000002,355.0,0.032,0.033,30.7,tests performed,47931.0,4062.0,2624.0,2.31,1262.0,41.67,11193729.0,527.967,19.2,3.4410000000000003,2.032,1569.888,0.2,280.775,10.43,6.2,40.9,43.993,12.27,57.85,0.38799999999999996
34,60841,YEM,Asia,Yemen,2021-01-15,2111.0,1.0,1.0,612.0,0.0,0.28600000000000003,70.777,0.034,0.034,20.519000000000002,0.0,0.01,0.63,23891.0,72.178,128947.0,389.565,1273.0,3.846,33902.0,102.42200000000001,1469955.0,3009.0,15.100999999999999,0.031,2394.0,0.025,0.001,698.2,samples tested,56581530.0,1021093.0,913912.0,0.73,2761.0,27.78,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
35,4307,BHR,Asia,Bahrain,2021-01-15,97020.0,208.0,284.286,357.0,1.0,0.429,57017.495,122.23899999999999,167.071,209.805,0.588,0.252,1.12,372.0,41.303999999999995,1874.0,208.074,,,,,2520171.0,12926.0,1481.0739999999998,7.596,11498.0,6.757000000000001,0.025,40.4,units unclear,122819.0,13253.0,6361.0,7.22,3738.0,50.93,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,0.7,151.689,16.52,5.8,37.6,83.241,2.0,77.29,0.846
36,53181,SWE,Europe,Sweden,2021-01-15,523486.0,4703.0,4859.286,10323.0,138.0,127.14299999999999,51834.043,465.67699999999996,481.152,1022.153,13.664000000000001,12.589,1.36,372.0,36.834,2844.0,281.605,172.761,17.105999999999998,1832.854,39.201,1522237.0,29221.0,71.089,2.8930000000000002,29221.0,2.8930000000000002,0.20199999999999999,4.9,tests performed,79466.0,77364.0,8841.0,0.79,875.0,69.44,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,67.779,2.22,82.8,0.9329999999999999
37,28206,JPN,Asia,Japan,2021-01-15,317871.0,7137.0,6132.0,4204.0,85.0,65.429,2513.282,56.428999999999995,48.483000000000004,33.239000000000004,0.672,0.517,1.58,2615.0,43.25,26042.0,430.718,29.198,5.912999999999999,3948.68,65.309,5351741.0,70610.0,42.31399999999999,0.5579999999999999,59907.0,0.474,0.102,9.8,people tested,1282184.0,20996.0,41012.0,2.12,678.0,53.24,126476458.0,347.778,48.2,27.049,18.493,39002.223,2.0,79.37,5.72,11.2,33.7,66.425,13.05,84.63,0.909
38,45800,RWA,Africa,Rwanda,2021-01-15,10573.0,257.0,172.143,138.0,5.0,3.286,816.309,19.842,13.290999999999999,10.655,0.386,0.254,1.21,1065.0,55.36,3770.0,369.727,19.332,3.5660000000000003,5310.204000000001,276.031,779511.0,6063.0,60.184,0.46799999999999997,3351.0,0.259,0.051,19.5,samples tested,1000000.0,39712.0,18182.0,0.69,125.0,35.19,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,8.05,69.02,0.524
39,24771,ISL,Europe,Iceland,2021-01-15,5956.0,8.0,12.714,29.0,0.0,0.0,17453.48,23.443,37.258,84.98200000000001,0.0,0.0,1.4,0.0,0.0,20.0,58.608000000000004,103.991,9.977,2.8680000000000003,8.404,251558.0,529.0,737.166,1.55,729.0,2.136,0.017,57.3,tests performed,4875.0,5327.0,63.0,1.43,185.0,44.44,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,84.169,2.91,82.99,0.935
