age_group,canton,cases,date,fatalities,sex
70 - 79,BS,0,2020-02-24,0,2
70 - 79,FL,0,2020-02-24,0,2
70 - 79,FR,0,2020-02-24,0,2
70 - 79,GE,0,2020-02-24,0,2
70 - 79,GL,0,2020-02-24,0,2
70 - 79,GR,0,2020-02-24,0,2
70 - 79,JU,0,2020-02-24,0,2
70 - 79,LU,0,2020-02-24,0,2
70 - 79,NE,0,2020-02-24,0,2
70 - 79,NW,0,2020-02-24,0,2
70 - 79,OW,0,2020-02-24,0,2
70 - 79,SG,0,2020-02-24,0,2
70 - 79,SH,0,2020-02-24,0,2
70 - 79,SO,0,2020-02-24,0,2
70 - 79,SZ,0,2020-02-24,0,2
70 - 79,TG,0,2020-02-24,0,2
70 - 79,TI,0,2020-02-24,0,2
70 - 79,UR,0,2020-02-24,0,2
70 - 79,VD,0,2020-02-24,0,2
70 - 79,VS,0,2020-02-24,0,2
70 - 79,ZG,0,2020-02-24,0,2
70 - 79,ZH,0,2020-02-24,0,2
80+,AG,0,2020-02-24,0,2
80+,AI,0,2020-02-24,0,2
80+,AR,0,2020-02-24,0,2
80+,BE,0,2020-02-24,0,2
80+,BL,0,2020-02-24,0,2
80+,BS,0,2020-02-24,0,2
80+,FL,0,2020-02-24,0,2
80+,FR,0,2020-02-24,0,2
80+,GE,0,2020-02-24,0,2
80+,GL,0,2020-02-24,0,2
80+,GR,0,2020-02-24,0,2
80+,JU,0,2020-02-24,0,2
80+,LU,0,2020-02-24,0,2
80+,NE,0,2020-02-24,0,2
80+,NW,0,2020-02-24,0,2
80+,OW,0,2020-02-24,0,2
80+,SG,0,2020-02-24,0,2
80+,SH,0,2020-02-24,0,2
80+,SO,0,2020-02-24,0,2
80+,SZ,0,2020-02-24,0,2
80+,TG,0,2020-02-24,0,2
80+,TI,0,2020-02-24,0,2
80+,UR,0,2020-02-24,0,2
80+,VD,0,2020-02-24,0,2
80+,VS,0,2020-02-24,0,2
80+,ZG,0,2020-02-24,0,2
80+,ZH,0,2020-02-24,0,2
Unbekannt,AG,0,2020-02-24,0,2
Unbekannt,AI,0,2020-02-24,0,2
Unbekannt,AR,0,2020-02-24,0,2
Unbekannt,BE,0,2020-02-24,0,2
Unbekannt,BL,0,2020-02-24,0,2
Unbekannt,BS,0,2020-02-24,0,2
Unbekannt,FL,0,2020-02-24,0,2
Unbekannt,FR,0,2020-02-24,0,2
Unbekannt,GE,0,2020-02-24,0,2
Unbekannt,GL,0,2020-02-24,0,2
Unbekannt,GR,0,2020-02-24,0,2
Unbekannt,JU,0,2020-02-24,0,2
Unbekannt,LU,0,2020-02-24,0,2
Unbekannt,NE,0,2020-02-24,0,2
Unbekannt,NW,0,2020-02-24,0,2
Unbekannt,OW,0,2020-02-24,0,2
Unbekannt,SG,0,2020-02-24,0,2
Unbekannt,SH,0,2020-02-24,0,2
Unbekannt,SO,0,2020-02-24,0,2
Unbekannt,SZ,0,2020-02-24,0,2
Unbekannt,TG,0,2020-02-24,0,2
Unbekannt,TI,0,2020-02-24,0,2
Unbekannt,UR,0,2020-02-24,0,2
Unbekannt,VD,0,2020-02-24,0,2
Unbekannt,VS,0,2020-02-24,0,2
Unbekannt,ZG,0,2020-02-24,0,2
Unbekannt,ZH,0,2020-02-24,0,2
0 - 9,AG,0,2020-02-24,0,9
0 - 9,AI,0,2020-02-24,0,9
0 - 9,AR,0,2020-02-24,0,9
0 - 9,BE,0,2020-02-24,0,9
0 - 9,BL,0,2020-02-24,0,9
0 - 9,BS,0,2020-02-24,0,9
0 - 9,FL,0,2020-02-24,0,9
0 - 9,FR,0,2020-02-24,0,9
0 - 9,GE,0,2020-02-24,0,9
0 - 9,GL,0,2020-02-24,0,9
0 - 9,GR,0,2020-02-24,0,9
0 - 9,JU,0,2020-02-24,0,9
0 - 9,LU,0,2020-02-24,0,9
0 - 9,NE,0,2020-02-24,0,9
0 - 9,NW,0,2020-02-24,0,9
0 - 9,OW,0,2020-02-24,0,9
0 - 9,SG,0,2020-02-24,0,9
0 - 9,SH,0,2020-02-24,0,9
0 - 9,SO,0,2020-02-24,0,9
0 - 9,SZ,0,2020-02-24,0,9
0 - 9,TG,0,2020-02-24,0,9
0 - 9,TI,0,2020-02-24,0,9
0 - 9,UR,0,2020-02-24,0,9
0 - 9,VD,0,2020-02-24,0,9
0 - 9,VS,0,2020-02-24,0,9
0 - 9,ZG,0,2020-02-24,0,9
0 - 9,ZH,0,2020-02-24,0,9
10 - 19,AG,0,2020-02-24,0,9
10 - 19,AI,0,2020-02-24,0,9
10 - 19,AR,0,2020-02-24,0,9
10 - 19,BE,0,2020-02-24,0,9
10 - 19,BL,0,2020-02-24,0,9
10 - 19,BS,0,2020-02-24,0,9
10 - 19,FL,0,2020-02-24,0,9
10 - 19,FR,0,2020-02-24,0,9
10 - 19,GE,0,2020-02-24,0,9
10 - 19,GL,0,2020-02-24,0,9
10 - 19,GR,0,2020-02-24,0,9
10 - 19,JU,0,2020-02-24,0,9
10 - 19,LU,0,2020-02-24,0,9
10 - 19,NE,0,2020-02-24,0,9
10 - 19,NW,0,2020-02-24,0,9
10 - 19,OW,0,2020-02-24,0,9
10 - 19,SG,0,2020-02-24,0,9
10 - 19,SH,0,2020-02-24,0,9
10 - 19,SO,0,2020-02-24,0,9
10 - 19,SZ,0,2020-02-24,0,9
10 - 19,TG,0,2020-02-24,0,9
10 - 19,TI,0,2020-02-24,0,9
10 - 19,UR,0,2020-02-24,0,9
10 - 19,VD,0,2020-02-24,0,9
10 - 19,VS,0,2020-02-24,0,9
10 - 19,ZG,0,2020-02-24,0,9
10 - 19,ZH,0,2020-02-24,0,9
20 - 29,AG,0,2020-02-24,0,9
20 - 29,AI,0,2020-02-24,0,9
20 - 29,AR,0,2020-02-24,0,9
20 - 29,BE,0,2020-02-24,0,9
20 - 29,BL,0,2020-02-24,0,9
20 - 29,BS,0,2020-02-24,0,9
